Player,Tm,Age,Tgt,Rec_P,Ctch%,Yds_p,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,G_P,GS,Att,Yds_R_P,TD_R_P,1D_P,Succ%_R,Y/A,Y/G_R,Fmb,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
David Montgomery,CHI,22,35.0,25,71.4%,185,1,7,42.9,5.3,1.6,11.6,16,8,242,889,6,50,43.4,3.7,55.6,2,12.333333333333334,208.0,975.0,4.766666666666667,8.666666666666666,23.666666666666668,194.0,8.4,0.0,231.66666666666666,1169.0,5.166666666666667,8.666666666666666,Big 12,Iowa State,5-10,222.0,4.63,28.5,121.0,True,137.0
Ryquell Armstead,JAX,23,24.0,14,58.3%,144,2,9,54.2,6.0,0.9,9.0,16,1,35,108,0,5,28.6,3.1,6.8,0,12.0,174.0,873.6666666666666,5.0,10.666666666666666,9.0,56.0,6.7,0.0,183.0,929.6666666666666,5.1000000000000005,10.666666666666666,American,Temple,5-11,220.0,4.45,30.0,114.0,True,268.0
Travis Homer,SEA,21,13.0,11,84.6%,56,0,3,46.2,4.3,0.7,3.5,16,1,18,114,0,6,50.0,6.3,7.1,0,13.0,163.5,975.5,5.95,6.0,18.5,202.5,11.0,0.5,182.0,1178.0,6.45,6.5,ACC,Miami (FL),5-10,201.0,4.48,39.5,130.0,True,364.0
Alexander Mattison,MIN,21,12.0,10,83.3%,82,0,3,50.0,6.8,0.8,6.3,13,0,100,462,1,19,37.0,4.6,35.5,1,13.5,257.0,1250.5,4.9,14.5,27.5,228.5,8.25,0.5,284.5,1479.0,5.25,15.0,MWC,Boise State,5-11,221.0,4.67,35.0,127.0,True,166.0
Justice Hill,BAL,22,15.0,8,53.3%,70,0,5,53.3,4.7,0.5,4.4,16,0,58,225,2,10,36.2,3.9,14.1,0,12.0,210.66666666666666,1179.6666666666667,5.633333333333333,10.0,16.333333333333332,101.33333333333333,6.833333333333333,0.3333333333333333,227.0,1281.0,5.633333333333333,10.333333333333334,Big 12,Oklahoma State,5-10,198.0,4.4,40.0,130.0,True,209.0
Myles Gaskin,MIA,22,12.0,7,58.3%,51,0,2,41.7,4.3,1.0,7.3,7,0,36,133,1,7,38.9,3.7,19.0,0,13.0,236.25,1330.75,5.65,14.25,16.25,116.25,6.575,1.25,252.5,1447.0,5.775,15.5,Pac-12,Washington,5-9,205.0,4.58,35.5,118.0,True,426.0
Darrell Henderson,LAR,22,6.0,4,66.7%,37,0,1,66.7,6.2,0.3,2.8,13,0,39,147,0,10,41.0,3.8,11.3,0,12.666666666666666,143.66666666666666,1181.6666666666667,7.766666666666667,12.0,21.0,252.66666666666666,12.266666666666666,2.6666666666666665,164.66666666666666,1434.3333333333333,8.4,14.666666666666666,American,Memphis,5-8,208.0,4.49,33.5,121.0,True,134.0
Qadree Ollison,ATL,23,2.0,1,50.0%,7,0,1,50.0,3.5,0.1,0.9,8,0,22,50,4,6,45.5,2.3,6.3,1,13.0,165.33333333333334,910.6666666666666,5.333333333333333,9.0,16.0,112.33333333333333,6.633333333333333,1.0,181.33333333333334,1023.0,5.566666666666666,10.0,ACC,Pittsburgh,6-1,228.0,4.58,29.5,114.0,True,280.0
D'Andre Swift,DET,21,57.0,46,80.7%,357,2,15,47.4,6.3,3.5,27.5,13,4,114,521,8,31,54.4,4.6,40.1,3,14.0,179.5,1133.5,6.300000000000001,8.5,28.0,256.5,9.15,2.0,207.5,1390.0,6.7,10.5,SEC,Georgia,5-8,212.0,4.48,35.5,121.0,True,67.0
Clyde Edwards-Helaire,KAN,21,54.0,36,66.7%,297,1,12,44.4,5.5,2.8,22.8,13,13,181,803,4,39,52.5,4.4,61.8,0,14.0,180.5,1036.0,5.55,11.5,33.0,274.5,8.45,0.5,213.5,1310.5,5.85,12.0,SEC,LSU,5-7,207.0,4.6,39.5,123.0,True,32.0
Jonathan Taylor,IND,21,39.0,36,92.3%,299,1,12,51.3,7.7,2.4,19.9,15,13,232,1169,11,69,52.2,5.0,77.9,1,13.666666666666666,308.6666666666667,2058.0,6.666666666666667,16.666666666666668,14.0,135.66666666666666,9.700000000000001,1.6666666666666667,322.6666666666667,2193.6666666666665,6.8,18.333333333333332,Big Ten,Wisconsin,5-10,226.0,4.39,36.0,123.0,True,73.0
Joshua Kelley,LAC,23,23.0,23,100.0%,148,0,9,56.5,6.4,1.6,10.6,14,0,111,354,2,20,43.2,3.2,25.3,2,11.0,227.0,1151.5,5.05,12.0,19.0,132.0,6.8,0.5,246.0,1283.5,5.2,12.5,Pac-12,UCLA,5-11,212.0,4.49,31.0,121.0,True,208.0
J.K. Dobbins,BAL,22,24.0,18,75.0%,120,0,4,37.5,5.0,1.2,8.0,15,1,134,805,9,38,56.7,6.0,53.7,2,14.0,241.66666666666666,1486.3333333333333,6.166666666666667,12.666666666666666,23.666666666666668,215.0,8.966666666666667,1.6666666666666667,265.3333333333333,1701.3333333333333,6.366666666666667,14.333333333333334,Big Ten,Ohio State,5-9,209.0,4.54,34.5,34.5,True,87.0
Zack Moss,BUF,23,18.0,14,77.8%,95,1,5,55.6,5.3,1.1,7.3,13,0,112,481,4,30,50.9,4.3,37.0,0,11.25,178.0,1016.75,5.525,9.5,16.5,171.25,8.15,0.75,194.5,1188.0,5.825,10.25,Pac-12,Utah,5-9,223.0,4.65,33.0,34.5,True,150.0
Salvon Ahmed,MIA,22,14.0,11,78.6%,61,0,2,28.6,4.4,1.8,10.2,6,4,75,319,3,18,58.7,4.3,53.2,0,13.0,146.0,814.0,5.6,9.0,18.5,127.0,6.699999999999999,0.0,164.5,941.0,5.800000000000001,9.0,Pac-12,Washington,5-11,197.0,4.62,34.5,120.0,False,225.0
Cam Akers,LAR,21,14.0,11,78.6%,123,1,4,42.9,8.8,0.8,9.5,13,5,145,625,2,26,49.0,4.3,48.1,1,12.0,195.33333333333334,958.0,4.8999999999999995,9.0,23.0,162.0,7.033333333333334,2.3333333333333335,218.33333333333334,1120.0,5.066666666666666,11.333333333333334,ACC,Florida State,5-10,217.0,4.47,35.5,122.0,True,84.0
Ke'Shawn Vaughn,TAM,23,10.0,5,50.0%,34,1,2,30.0,3.4,0.5,3.4,10,0,26,109,0,5,42.3,4.2,10.9,1,11.666666666666666,170.66666666666666,998.3333333333334,5.8999999999999995,9.0,19.333333333333332,191.66666666666666,10.133333333333333,1.0,190.0,1190.0,6.333333333333333,10.0,SEC,Vanderbilt,5-10,214.0,4.51,32.0,117.0,True,140.0
AJ Dillon,GNB,22,2.0,2,100.0%,21,0,1,100.0,10.5,0.2,1.9,11,0,46,242,2,11,52.2,5.3,22.0,0,12.0,281.6666666666667,1460.6666666666667,5.166666666666667,12.666666666666666,7.0,78.66666666666667,10.05,0.6666666666666666,288.6666666666667,1539.3333333333333,5.3,13.333333333333334,ACC,Boston College,6-0,247.0,4.53,41.0,131.0,True,94.0
Darrynton Evans,TEN,22,4.0,2,50.0%,27,1,2,50.0,6.8,0.4,5.4,5,0,14,54,0,2,57.1,3.9,10.8,0,13.5,217.0,1333.5,6.199999999999999,12.5,16.5,142.5,8.35,3.0,233.5,1476.0,6.4,15.5,Sun Belt,Appalachian State,5-10,203.0,4.41,37.0,125.0,True,157.0
LeVante Bellamy,DEN,24,1.0,1,100.0%,5,0,0,100.0,5.0,0.2,1.0,5,0,4,11,0,0,25.0,2.8,2.2,0,13.0,235.5,1350.0,5.75,14.5,22.5,120.0,4.95,0.5,258.0,1470.0,5.7,15.0,MAC,Western Michigan,5-9,192.0,4.5,39.5,125.0,False,225.0
Scottie Phillips,HOU,23,1.0,1,100.0%,7,0,0,100.0,7.0,0.1,0.9,8,0,2,9,0,0,50.0,4.5,1.1,0,10.5,139.0,735.0,5.199999999999999,8.5,9.0,91.0,10.05,1.5,148.0,826.0,5.5,10.0,SEC,Mississippi,5-8,209.0,4.56,30.0,114.0,False,225.0
J.J. Taylor,NWE,22,2.0,1,50.0%,4,0,0,50.0,2.0,0.2,0.7,6,0,23,110,0,5,52.2,4.8,18.3,0,12.0,183.0,1000.6666666666666,5.433333333333334,5.333333333333333,20.0,157.0,7.133333333333333,0.6666666666666666,203.0,1157.6666666666667,5.7,6.0,Pac-12,Arizona,5-5,185.0,4.61,34.5,118.0,False,225.0
Javonte Williams,DEN,21,53.0,43,81.1%,316,3,12,37.7,6.0,2.5,18.6,17,1,203,903,4,52,46.3,4.4,53.1,2,12.0,161.5,1036.5,6.449999999999999,12.0,21.0,240.5,11.3,2.0,182.5,1277.0,7.0,14.0,ACC,North Carolina,5-9,212.0,4.55,36.0,123.0,True,67.0
Michael Carter,NYJ,22,55.0,36,65.5%,325,0,16,47.3,5.9,2.6,23.2,14,11,147,639,4,29,51.0,4.3,45.6,1,11.0,128.5,850.75,6.65,5.5,20.5,164.0,8.125,1.5,149.0,1014.75,6.75,7.0,ACC,North Carolina,5-7,201.0,4.5,34.0,119.0,True,203.0
Chuba Hubbard,CAR,22,37.0,25,67.6%,174,1,8,40.5,4.7,1.5,10.2,17,10,172,612,5,36,43.0,3.6,36.0,1,11.0,195.0,1153.0,5.7,11.0,17.666666666666668,159.66666666666666,8.5,1.0,212.66666666666666,1312.6666666666667,5.966666666666666,12.0,Big 12,Oklahoma St.,6-0,210.0,4.48,36.0,120.0,True,222.0
Elijah Mitchell,SFO,23,20.0,19,95.0%,137,1,6,50.0,6.9,1.7,12.5,11,10,207,963,5,47,49.8,4.7,87.5,0,12.666666666666666,161.33333333333334,1000.6666666666666,6.233333333333333,12.333333333333334,15.333333333333334,190.66666666666666,11.366666666666667,1.3333333333333333,176.66666666666666,1191.3333333333333,6.833333333333333,13.666666666666666,Sun Belt,Louisiana,5-10,201.0,4.38,37.5,128.0,True,354.0
Chris Evans,CIN,24,17.0,15,88.2%,151,2,6,58.8,8.9,1.1,10.8,14,1,17,77,0,3,41.2,4.5,5.5,0,13.0,111.5,649.5,6.05,5.0,11.0,122.0,12.15,0.5,122.5,771.5,6.55,5.5,Big Ten,Michigan,5-11,211.0,4.5,40.5,127.0,True,362.0
Khalil Herbert,CHI,23,16.0,14,87.5%,96,0,6,50.0,6.0,0.8,5.6,17,2,103,433,2,24,50.5,4.2,25.5,1,11.333333333333334,129.0,781.3333333333334,5.866666666666667,5.666666666666667,9.0,85.33333333333333,9.0,0.3333333333333333,138.0,866.6666666666666,6.066666666666667,6.0,ACC,Virginia Tech,5-8,210.0,4.46,33.0,115.0,True,377.0
Rhamondre Stevenson,NWE,23,18.0,14,77.8%,123,0,3,50.0,6.8,1.2,10.3,12,2,133,606,5,33,57.9,4.6,50.5,2,6.0,101.0,665.0,6.6,7.0,18.0,211.0,11.7,0.0,119.0,876.0,7.4,7.0,Big 12,Oklahoma,5-11,231.0,4.64,31.5,112.0,True,216.0
Jaret Patterson,WAS,22,11.0,10,90.9%,73,0,5,54.5,6.6,0.6,4.3,17,1,68,266,2,15,50.0,3.9,15.6,1,11.0,212.0,1294.6666666666667,6.3,17.333333333333332,6.666666666666667,90.33333333333333,12.5,0.3333333333333333,218.66666666666666,1385.0,6.5,17.666666666666668,MAC,Buffalo,5-6,195.0,4.59,30.0,117.0,False,225.0
Jermar Jefferson,DET,21,5.0,4,80.0%,23,0,2,60.0,4.6,0.6,3.3,7,0,15,74,2,4,53.3,4.9,10.6,0,9.0,171.33333333333334,974.3333333333334,5.7,9.0,14.333333333333334,99.66666666666667,7.566666666666667,0.6666666666666666,185.66666666666666,1074.0,5.8,9.666666666666666,Pac-12,Oregon St.,5-10,206.0,4.57,31.0,115.0,True,449.0
Trey Sermon,SFO,22,4.0,3,75.0%,26,0,1,25.0,6.5,0.3,2.9,9,2,41,167,1,9,56.1,4.1,18.6,0,12.0,133.66666666666666,853.6666666666666,6.466666666666666,7.333333333333333,13.333333333333334,138.33333333333334,10.566666666666666,0.6666666666666666,147.0,992.0,6.766666666666667,8.0,Big Ten,Ohio St.,6-0,215.0,4.57,37.0,125.0,True,152.0
Trey Ragas,LVR,25,2.0,2,100.0%,6,0,0,50.0,3.0,2.0,6.0,1,0,1,9,0,1,100.0,9.0,9.0,0,12.25,149.0,893.0,6.075,9.5,12.25,106.75,8.65,1.25,161.25,999.75,6.275,10.75,Sun Belt,Louisiana,5-10,214.0,4.6,33.5,117.0,False,225.0
Gary Brightwell,NYG,22,1.0,1,100.0%,6,0,0,100.0,6.0,0.1,0.5,13,0,1,4,0,0,100.0,4.0,0.3,0,8.0,89.5,457.5,5.1,2.0,7.5,31.0,4.3,0.0,97.0,488.5,5.050000000000001,2.0,Pac-12,Arizona,5-10,218.0,4.62,34.5,118.0,True,356.0
Kylin Hill,GNB,23,2.0,1,50.0%,5,0,0,50.0,2.5,0.1,0.6,8,0,10,24,0,1,20.0,2.4,3.0,0,12.0,179.5,1042.0,5.949999999999999,7.0,20.0,178.0,9.0,2.5,199.5,1220.0,6.2,9.5,SEC,Mississippi St.,5-10,214.0,4.51,36.0,122.0,True,448.0
Mekhi Sargent,3TM,24,1.0,0,0.0%,0,0,0,0.0,0.0,0.0,0.0,7,0,5,11,0,1,20.0,2.2,1.6,0,11.333333333333334,118.0,580.0,5.033333333333334,6.666666666666667,10.666666666666666,100.0,8.366666666666667,0.3333333333333333,128.66666666666666,680.0,5.366666666666667,7.0,Big Ten,Iowa,5-8,208.0,4.62,33.5,114.0,False,225.0
Rachaad White,TAM,23,58.0,50,86.2%,290,2,13,53.4,5.0,2.9,17.1,17,8,129,481,1,27,49.6,3.7,28.3,3,7.5,112.0,713.0,7.75,10.0,25.5,303.5,14.75,1.0,137.5,1016.5,8.95,11.0,Pac-12,Arizona St.,6-0,214.0,4.48,38.0,125.0,True,155.0
Dameon Pierce,HOU,22,39.0,30,76.9%,165,1,7,43.6,4.2,2.3,12.7,13,13,220,939,4,54,47.7,4.3,72.2,4,12.5,103.0,538.5,5.2,8.5,18.0,186.0,10.3,2.0,121.0,724.5,6.0,10.5,SEC,Florida,5-10,218.0,4.59,34.5,119.0,True,203.0
Jaylen Warren,PIT,24,33.0,28,84.8%,214,0,14,51.5,6.5,1.8,13.4,16,0,77,379,1,20,53.2,4.9,23.7,1,9.666666666666666,135.66666666666666,679.0,5.466666666666666,6.333333333333333,15.0,146.66666666666666,9.233333333333333,0.0,150.66666666666666,825.6666666666666,5.833333333333333,6.333333333333333,Big 12,Oklahoma St.,5-8,204.0,4.55,31.5,119.0,False,225.0
James Cook,BUF,23,32.0,21,65.6%,180,1,5,46.9,5.6,1.3,11.3,16,0,89,507,2,25,50.6,5.7,31.7,1,15.0,113.0,728.0,6.4,7.0,27.0,284.0,10.5,4.0,140.0,1012.0,7.2,11.0,SEC,Georgia,5-11,199.0,4.42,33.0,124.0,True,95.0
Breece Hall,NYJ,21,31.0,19,61.3%,218,1,8,35.5,7.0,2.7,31.1,7,2,80,463,4,20,50.0,5.8,66.1,1,12.0,239.33333333333334,1311.0,5.3999999999999995,16.666666666666668,27.333333333333332,244.66666666666666,9.066666666666666,2.0,266.6666666666667,1555.6666666666667,5.8,18.666666666666668,Big 12,Iowa St.,5-11,217.0,4.39,40.0,126.0,True,68.0
Tyler Allgeier,ATL,22,17.0,16,94.1%,139,1,8,58.8,8.2,1.0,8.7,16,7,210,1035,3,53,51.9,4.9,64.7,0,12.0,213.0,1368.0,6.65,18.0,21.0,186.5,9.75,0.0,234.0,1554.5,6.95,18.0,Ind,BYU,5-11,224.0,4.6,33.0,120.0,True,279.0
Zonovan Knight,NYJ,21,14.0,13,92.9%,100,0,5,71.4,7.1,1.9,14.3,7,4,85,300,1,14,38.8,3.5,42.9,2,12.0,139.66666666666666,762.0,5.466666666666666,6.0,16.0,112.33333333333333,6.866666666666667,0.0,155.66666666666666,874.3333333333334,5.6000000000000005,6.0,ACC,North Carolina St.,5-11,209.0,4.58,31.0,114.0,False,225.0
Isiah Pacheco,KAN,23,14.0,13,92.9%,130,0,7,64.3,9.3,0.8,7.6,17,11,170,830,5,37,57.1,4.9,48.8,4,11.0,140.75,610.5,4.4,4.5,11.75,62.25,5.15,0.25,152.5,672.75,4.5,4.75,Big Ten,Rutgers,5-10,216.0,4.37,33.0,118.0,True,443.0
Hassan Haskins,TEN,23,12.0,11,91.7%,57,0,2,25.0,4.8,0.7,3.8,15,1,25,93,0,5,44.0,3.7,6.2,0,11.0,150.66666666666666,774.6666666666666,5.366666666666667,10.0,8.0,57.0,7.0,0.0,158.66666666666666,831.6666666666666,5.466666666666666,10.0,Big Ten,Michigan,6-2,228.0,4.54,34.5,34.5,True,227.0
Kyren Williams,LAR,22,12.0,9,75.0%,76,0,5,58.3,6.3,0.9,7.6,10,0,35,139,0,6,42.9,4.0,13.9,0,12.0,207.5,1063.5,5.1,13.5,38.5,336.0,8.7,2.0,246.0,1399.5,5.65,15.5,Ind,Notre Dame,5-9,194.0,4.65,32.0,116.0,True,292.0
Ronnie Rivers,LAR,23,5.0,5,100.0%,29,0,1,80.0,5.8,0.6,3.6,8,1,9,21,0,1,44.4,2.3,2.6,0,10.6,134.2,683.4,5.1,8.0,30.0,283.4,9.42,2.2,164.2,966.8,5.88,10.2,MWC,Fresno St.,5-8,195.0,4.6,36.5,119.0,False,225.0
Keaontay Ingram,ARI,23,5.0,4,80.0%,21,0,1,20.0,4.2,0.3,1.8,12,0,27,60,1,4,25.9,2.2,5.0,0,12.0,147.33333333333334,824.0,5.566666666666666,5.0,26.0,189.33333333333334,7.233333333333334,1.6666666666666667,173.33333333333334,1013.3333333333334,5.833333333333333,6.666666666666667,Pac-12,USC,6-0,221.0,4.53,34.5,122.0,True,361.0
Isaiah Spiller,LAC,21,3.0,3,100.0%,13,0,0,33.3,4.3,0.5,2.2,6,0,18,41,0,2,22.2,2.3,6.8,0,11.666666666666666,180.33333333333334,997.6666666666666,5.5,8.333333333333334,24.666666666666668,195.0,8.1,0.3333333333333333,205.0,1192.6666666666667,5.833333333333333,8.666666666666666,SEC,Texas A&M,6-0,217.0,4.54,30.0,114.0,True,219.0
Trestan Ebner,CHI,23,8.0,2,25.0%,8,0,0,25.0,1.0,0.1,0.5,17,0,24,54,0,2,33.3,2.3,3.2,2,14.0,148.0,799.0,5.4,2.0,28.0,284.0,10.1,2.0,176.0,1083.0,6.2,4.0,Big 12,Baylor,5-11,206.0,4.43,30.0,34.5,True,363.0
Tyler Badie,DEN,22,1.0,1,100.0%,24,1,1,100.0,24.0,1.0,24.0,1,0,1,0,0,0,0.0,0.0,0.0,0,12.0,155.0,832.6666666666666,5.033333333333334,6.333333333333333,32.666666666666664,272.0,9.333333333333334,3.0,187.66666666666666,1104.6666666666667,5.8,9.333333333333334,SEC,Missouri,5-8,197.0,4.45,33.5,121.0,True,356.0
Tyrion Davis-Price,SFO,22,2.0,0,0.0%,0,0,0,0.0,0.0,0.0,0.0,6,0,34,99,0,5,32.4,2.9,16.5,0,10.5,157.5,724.5,4.55,4.5,9.0,55.5,6.15,0.0,166.5,780.0,4.6,4.5,SEC,LSU,6-0,211.0,4.48,30.0,117.0,True,157.0
Bijan Robinson,ATL,21,86.0,58,67.4%,487,4,24,45.3,5.7,3.4,28.6,17,16,214,976,4,50,43.5,4.6,57.4,4,10.333333333333334,179.66666666666666,1136.6666666666667,6.699999999999999,11.0,20.0,268.3333333333333,13.633333333333333,2.6666666666666665,199.66666666666666,1405.0,7.366666666666667,13.666666666666666,Big 12,Texas,5-11,215.0,4.46,37.0,124.0,True,8.0
Jahmyr Gibbs,DET,21,71.0,52,73.2%,316,1,20,46.5,4.5,3.5,21.1,15,3,182,945,10,42,46.7,5.2,63.0,2,10.333333333333334,127.66666666666667,710.6666666666666,5.5,5.0,34.666666666666664,405.6666666666667,11.933333333333332,2.6666666666666665,162.33333333333334,1116.3333333333333,6.866666666666667,7.666666666666667,SEC,Alabama,5-9,199.0,4.36,33.5,34.5,True,12.0
Tyjae Spears,TEN,22,70.0,52,74.3%,385,1,17,34.3,5.5,3.1,22.6,17,1,100,453,2,24,44.0,4.5,26.6,1,13.0,179.0,1222.0,6.800000000000001,14.0,20.5,200.5,9.6,1.0,199.5,1422.5,7.05,15.0,American,Tulane,5-10,201.0,4.54,39.0,125.0,True,145.0
Roschon Johnson,CHI,22,40.0,34,85.0%,209,0,6,27.5,5.2,2.3,13.9,15,0,81,352,2,16,43.2,4.3,23.5,1,11.75,98.0,547.5,5.6,5.75,14.0,105.0,7.475,0.75,112.0,652.5,5.825,6.5,Big 12,Texas,6-0,219.0,4.58,31.5,122.0,True,211.0
Zach Charbonnet,SEA,22,40.0,33,82.5%,209,0,7,45.0,5.2,2.1,13.1,16,2,108,462,1,32,49.1,4.3,28.9,0,11.666666666666666,182.33333333333334,1074.0,5.833333333333333,12.666666666666666,23.0,182.66666666666666,6.8999999999999995,0.0,205.33333333333334,1256.6666666666667,5.966666666666666,12.666666666666666,Pac-12,UCLA,6-0,214.0,4.53,37.0,122.0,True,84.0
Chase Brown,CIN,23,15.0,14,93.3%,156,1,4,53.3,10.4,1.2,13.0,12,0,44,179,0,6,34.1,4.1,14.9,1,10.0,200.66666666666666,1062.6666666666667,5.366666666666667,6.0,16.0,148.66666666666666,9.366666666666667,1.0,216.66666666666666,1211.3333333333333,5.633333333333333,7.0,Big Ten,Illinois,5-10,209.0,4.43,40.0,127.0,True,291.0
Kendre Miller,NOR,21,11.0,10,90.9%,117,0,5,54.5,10.6,1.3,14.6,8,0,41,156,1,10,39.0,3.8,19.5,0,12.0,153.5,1011.0,6.85,12.0,14.0,116.5,8.55,0.5,167.5,1127.5,7.05,12.5,Big 12,TCU,5-11,215.0,4.54,34.5,34.5,True,135.0
Keaton Mitchell,BAL,21,11.0,9,81.8%,93,0,5,63.6,8.5,1.1,11.6,8,2,47,396,2,19,68.1,8.4,49.5,0,11.0,154.33333333333334,1009.0,6.233333333333333,8.333333333333334,20.0,193.33333333333334,9.200000000000001,1.0,174.33333333333334,1202.3333333333333,6.6000000000000005,9.333333333333334,American,East Carolina,5-8,179.0,4.37,38.0,126.0,False,225.0
Israel Abanikanda,NYJ,21,11.0,7,63.6%,43,0,2,36.4,3.9,1.2,7.2,6,0,22,70,0,3,36.4,3.2,11.7,1,12.0,181.0,1041.0,5.65,13.5,18.0,171.5,10.2,1.0,199.0,1212.5,6.05,14.5,ACC,Pittsburgh,5-10,216.0,4.54,34.5,34.5,True,271.0
Deuce Vaughn,DAL,22,7.0,7,100.0%,40,0,1,42.9,5.7,1.0,5.7,7,0,23,40,0,1,8.7,1.7,5.7,0,12.333333333333334,217.0,1201.3333333333333,5.5,11.333333333333334,38.666666666666664,426.6666666666667,12.0,3.0,255.66666666666666,1628.0,6.566666666666666,14.333333333333334,Big 12,Kansas St.,5-5,179.0,4.54,35.5,116.0,True,372.0
Eric Gray,NYG,24,7.0,6,85.7%,22,0,0,0.0,3.1,0.5,1.7,13,0,17,48,0,2,35.3,2.8,3.7,3,11.333333333333334,157.0,892.3333333333334,5.533333333333334,6.333333333333333,25.333333333333332,199.33333333333334,8.066666666666668,1.0,182.33333333333334,1091.6666666666667,5.8999999999999995,7.333333333333333,Big 12,Oklahoma,5-10,207.0,4.54,37.5,118.0,True,300.0
Sean Tucker,TAM,22,2.0,2,100.0%,9,0,0,50.0,4.5,0.2,0.8,11,0,15,23,0,1,26.7,1.5,2.1,0,11.0,196.33333333333334,1060.6666666666667,5.266666666666667,9.0,21.333333333333332,205.33333333333334,11.266666666666666,1.3333333333333333,217.66666666666666,1266.0,5.7,10.333333333333334,ACC,Syracuse,5-9,207.0,4.54,34.5,34.5,False,225.0
Tank Bigsby,JAX,22,4.0,1,25.0%,6,0,0,25.0,1.5,0.1,0.4,17,0,50,132,2,12,42.0,2.6,7.8,2,11.666666666666666,180.33333333333334,968.6666666666666,5.433333333333334,8.333333333333334,20.666666666666668,149.33333333333334,7.466666666666666,0.0,201.0,1118.0,5.633333333333333,8.333333333333334,SEC,Auburn,6-0,210.0,4.56,32.5,119.0,True,152.0
Evan Hull,IND,23,1.0,1,100.0%,6,0,0,100.0,6.0,1.0,6.0,1,0,1,1,0,0,0.0,1.0,1.0,0,12.0,208.5,961.0,4.6,6.0,44.0,405.0,8.95,2.0,252.5,1366.0,5.449999999999999,8.0,Big Ten,Northwestern,5-10,209.0,4.47,37.0,123.0,False,225.0
